"filename", "language", "Handlebars", "JSON", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\parts\roll-options.hbs", "Handlebars", 13, 0, 0, 0, 0, 0, 0, 1, 0, 14
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\roll-background.hbs", "Handlebars", 18, 0, 0, 0, 0, 0, 0, 1, 0, 19
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\roll-default.hbs", "Handlebars", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\rote-roll.hbs", "Handlebars", 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\skill-roll.hbs", "Handlebars", 12, 0, 0, 0, 0, 0, 0, 0, 0, 12
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\weapon-attack.hbs", "Handlebars", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\weapon-damage.hbs", "Handlebars", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\body.hbs", "Handlebars", 3, 0, 0, 0, 0, 0, 0, 1, 0, 4
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\description.hbs", "Handlebars", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\header.hbs", "Handlebars", 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\rules.hbs", "Handlebars", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings.hbs", "Handlebars", 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\armour.hbs", "Handlebars", 16, 0, 0, 0, 0, 0, 0, 0, 0, 16
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\augment.hbs", "Handlebars", 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\culture.hbs", "Handlebars", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\fate.hbs", "Handlebars", 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\lineage.hbs", "Handlebars", 43, 0, 0, 0, 0, 0, 0, 0, 3, 46
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\path.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\rote.hbs", "Handlebars", 75, 0, 0, 0, 0, 0, 0, 0, 8, 83
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\skill.hbs", "Handlebars", 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\item\settings\weapon.hbs", "Handlebars", 68, 0, 0, 0, 0, 0, 0, 0, 11, 79
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\actor-effects.hbs", "Handlebars", 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\actor-features.hbs", "Handlebars", 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\actor-items.hbs", "Handlebars", 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\actor-spells.hbs", "Handlebars", 24, 0, 0, 0, 0, 0, 0, 0, 0, 24
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\actor-traits.hbs", "Handlebars", 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\tabs-content.hbs", "Handlebars", 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\shared\tabs-nav.hbs", "Handlebars", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"Total", "-", 1149, 10181, 7, 3241, 493, 474, 6, 556, 885, 16992
